PLAYER,TEAM,YEAR,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Devin Booker,PHX,2022,25,05-Jun,206,Kentucky,USA,2015,1,13,68,26.8,5,4.8,9.5,2,11.7,31.3,57.6,21.2
Devin Cannady,ORL,2022,26,02-Jun,183,Princeton,USA,2019,,,5,10,1.2,2,-2.6,0.6,3.2,15.6,53.1,10.2
Devin Vassell,SAS,2022,21,05-Jun,200,Florida State,USA,2020,1,11,71,12.3,4.3,1.9,1,2.1,12.8,18.4,54,9.6
Devon Dotson,CHI,2022,22,01-Jun,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,1.1,10.5,15.6,53.8,28.3
Devontae Cacok,SAS,2022,25,07-Jun,240,UNC-Wilmington,USA,Undrafted,Undrafted,Undrafted,15,3.1,2.8,0.4,-1.6,5.8,27.9,12.2,67.5,7.3
Devonte' Graham,NOP,2022,27,01-Jun,195,Kansas,USA,2018,2,34,76,11.9,2.3,4.2,0.3,1.7,6.4,19.1,51.4,21
Dewayne Dedmon,MIA,2022,32,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,67,6.3,5.8,0.7,3.5,10,25.1,16.4,63.2,6.9
Didi Louzada,POR,2022,22,05-Jun,188,None,Brazil,2019,2,35,9,3.9,1.9,0.6,-29.1,3.4,9.6,13,51.7,7
Dillon Brooks,MEM,2022,26,07-Jun,225,Oregon,Canada,2017,2,45,32,18.4,3.2,2.8,11,3,8,28.3,51.5,14.7
Domantas Sabonis,SAC,2022,26,11-Jun,240,Gonzaga,Lithuania,2016,1,11,62,18.9,12.1,5.2,-0.6,9.2,26.4,22.1,63.7,23.9
Donovan Mitchell,UTA,2022,25,01-Jun,215,Louisville,USA,2017,1,13,67,25.9,4.2,5.3,5.9,2.4,9.6,32.2,57.2,26.7
Donte DiVincenzo,SAC,2022,25,04-Jun,203,Villanova,USA,2018,1,17,42,9,4,2.8,-3.7,3.9,12.5,18.7,51,16.7
Dorian Finney-Smith,DAL,2022,29,07-Jun,220,Florida,USA,Undrafted,Undrafted,Undrafted,80,11,4.7,1.9,4.4,4.7,9.5,13.8,60.4,8
Doug McDermott,SAS,2022,30,07-Jun,225,Creighton,USA,2014,1,11,51,11.3,2.3,1.3,-1.8,1.4,7.6,17.8,59.3,6.8
Draymond Green,GSW,2022,32,06-Jun,230,Michigan State,USA,2012,2,35,46,7.5,7.3,7,7.2,3.4,20.4,14,58.2,32.5
Drew Eubanks,POR,2022,25,09-Jun,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.7,5.4,1.2,-12.8,9.7,19.7,17.1,63.8,10.7
Duane Washington Jr.,IND,2022,22,03-Jun,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,48,9.9,1.7,1.8,-5.9,0.4,8.2,21.4,52.1,12.8
Duncan Robinson,MIA,2022,28,07-Jun,215,Michigan,USA,Undrafted,Undrafted,Undrafted,79,10.9,2.6,1.6,2.6,1.2,8.9,17.4,57.3,9.5
Dwight Howard,LAL,2022,36,10-Jun,265,None,USA,2004,1,1,60,6.2,5.9,0.6,-5.7,12,24.6,14.5,65.7,4.9
Dwight Powell,DAL,2022,30,10-Jun,240,Stanford,Canada,2014,2,45,82,8.7,4.9,1.2,2.5,9.9,13.4,13.6,72.5,8.1
Dylan Windler,CLE,2022,25,06-Jun,196,Belmont,USA,2019,1,26,50,2.2,1.8,0.7,0,4.7,14.6,11.5,51.9,11.1
Ed Davis,CLE,2022,33,09-Jun,218,North Carolina,USA,2010,1,13,31,0.9,2.1,0.2,4.6,7.2,23,6.2,63.2,5.3
Elfrid Payton,PHX,2022,28,03-Jun,195,Louisana-Lafayette,USA,2014,1,10,50,3,1.8,2,-2,3.5,11.5,17.5,39.7,25.2
Elijah Hughes,POR,2022,24,05-Jun,215,Syracuse,USA,2020,2,39,36,3.5,1.6,0.6,-23.7,1.3,11.8,15.8,42.6,7.9
Emanuel Terry,PHX,2022,25,09-Jun,220,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0,5,0.7,-50.3,28.6,38.9,18.9,0,22.2
Emmanuel Mudiay,SAC,2022,26,03-Jun,200,None,DRC,2015,1,7,2,1.5,0,2,-23.7,0,0,19.2,39.9,57.1
Enes Freedom,BOS,2022,30,10-Jun,250,None,Turkey,2011,1,3,35,3.7,4.6,0.2,7.8,14.3,21.9,12.9,58.5,2.7
Eric Bledsoe,POR,2022,32,01-Jun,214,Kentucky,USA,2010,1,18,54,9.9,3.4,4.2,-1.2,2,10.5,19.8,51.4,25.1
Eric Gordon,HOU,2022,33,03-Jun,215,Indiana,USA,2008,1,7,57,13.4,2,2.7,-5.1,0.9,5.6,18.2,61.4,13.7
Eric Paschall,UTA,2022,25,06-Jun,255,Villanova,USA,2019,2,41,58,5.8,1.8,0.6,-2.3,4.2,10,17.4,61.2,7.4
Eugene Omoruyi,DAL,2022,25,06-Jun,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,4,1.8,1.8,0.5,11.9,11.1,27.8,15.6,51.8,16.7
Evan Fournier,NYK,2022,29,06-Jun,205,None,France,2012,1,20,80,14.1,2.6,2.1,-2.7,1.3,7.3,20.1,55.4,11.4
Evan Mobley,CLE,2022,21,11-Jun,215,Southern California,USA,2021,1,3,69,15,8.3,2.5,1.7,6.3,17.4,20.1,54.9,11.7
Facundo Campazzo,DEN,2022,31,10-May,195,None,Argentina,Undrafted,Undrafted,Undrafted,65,5.1,1.8,3.4,-8.6,1.9,8,14.3,50.3,27.6
Feron Hunt,NYK,2022,22,08-Jun,195,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0.5,-10.1,9.1,0,13.6,0,20
Frank Jackson,DET,2022,24,03-Jun,205,Duke,USA,2017,2,31,53,10.6,1.6,1,-6.8,1.5,5.8,20.3,53,7.7
Frank Kaminsky,PHX,2022,29,7-0,240,Wisconsin,USA,2015,1,9,9,10.6,4.6,1.4,9.6,6,14.4,18.5,63.5,10.5
Frank Ntilikina,DAL,2022,23,04-Jun,200,None,France,2017,1,8,58,4.1,1.4,1.2,4.3,1.6,9.4,16.5,51.3,14.9
Franz Wagner,ORL,2022,20,10-Jun,220,Michigan,Germany,2021,1,8,79,15.2,4.5,2.9,-4.9,3.3,10.6,20.8,55.9,15.1
Fred VanVleet,TOR,2022,28,01-Jun,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,65,20.3,4.4,6.7,3.7,1.6,10,23.3,55.2,26.6
Freddie Gillespie,ORL,2022,25,09-Jun,245,Baylor,USA,Undrafted,Undrafted,Undrafted,9,2.3,4,0.6,-13.6,9.9,18.3,10.9,41.9,6.1
Furkan Korkmaz,PHI,2022,24,07-Jun,202,None,Turkey,2016,1,26,67,7.6,2.6,1.9,0.8,1.5,10.4,17,50.2,12.9
Gabe Vincent,MIA,2022,26,03-Jun,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,68,8.7,1.9,3.1,3.1,1.4,6.4,17.4,55.1,19.8
Gabe York,IND,2022,28,03-Jun,190,Arizona,USA,Undrafted,Undrafted,Undrafted,2,4,1,2,-14.6,0,14.3,17.9,43.5,22.2
Gabriel Deck,OKC,2022,27,06-Jun,231,None,Argentina,Undrafted,Undrafted,Undrafted,7,2.6,0.9,0.7,-13.6,1.7,7.7,11.9,64.3,14.7
Gabriel Lundberg,PHX,2022,27,04-Jun,203,None,Denmark,Undrafted,Undrafted,Undrafted,4,3.3,1.8,2.8,18.3,4,11.9,19.1,34.2,26.8
Garrett Temple,NOP,2022,36,05-Jun,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,59,5.2,2.4,1.3,-13.7,2.4,10.6,13.6,49.4,10.2
Garrison Mathews,HOU,2022,25,05-Jun,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,65,10,2.9,1,-5.9,1.8,9.3,13.7,60.2,5.2
Gary Clark,NOP,2022,27,06-Jun,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,38,2.7,2.4,0.5,-2.1,5.7,17.4,11,54.7,6.7
Gary Harris,ORL,2022,27,04-Jun,210,Michigan State,USA,2014,1,19,61,11.1,2,1.8,-5.9,2,4.8,16,57.1,9.4
Gary Payton II,GSW,2022,29,03-Jun,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.1,3.5,0.9,8.3,5.8,13.2,14,67.9,7.6
Gary Trent Jr.,TOR,2022,23,05-Jun,209,Duke,USA,2018,2,37,70,18.3,2.7,2,3.3,1,7,21.2,54.6,8.5
George Hill,MIL,2022,36,04-Jun,188,Indiana-Purdue Indianapolis,USA,2008,1,26,54,6.2,2.9,2.2,11.7,2.9,8.4,11.5,55.2,12.4
George King,DAL,2022,28,06-Jun,220,Colorado,USA,2018,2,59,4,0.3,1.3,0,-62.2,0,25,15.9,8.5,0
Georges Niang,PHI,2022,29,07-Jun,230,Iowa State,USA,2016,2,50,76,9.2,2.7,1.3,1.9,1.4,9.7,16,59.4,9
Georgios Kalaitzakis,OKC,2022,23,07-Jun,192,None,Greece,2021,2,60,13,6.6,1.6,0.9,-29.3,2.6,7.4,20,53.6,9
Giannis Antetokounmpo,MIL,2022,27,11-Jun,242,None,Greece,2013,1,15,67,29.9,11.6,5.8,8,6,26.7,34,63.3,30.4
Goga Bitadze,IND,2022,22,7-0,250,None,Georgia,2019,1,18,50,7,3.5,1.1,-2.4,10.6,13.9,19.1,59.5,11
Goran Dragic,BKN,2022,36,03-Jun,190,None,Slovenia,2008,2,45,21,7.5,3.1,4.1,0.4,2.7,10.4,16.6,47.4,22.7
Gordon Hayward,CHA,2022,32,07-Jun,225,Butler,USA,2010,1,9,49,15.9,4.6,3.6,-0.4,2.2,11.4,20.2,57,16
Gorgui Dieng,ATL,2022,32,10-Jun,248,Louisville,Senegal,2013,1,21,44,3.5,2.8,0.8,-9.2,8.3,23.8,16.4,62.4,15.5
Grant Williams,BOS,2022,23,06-Jun,236,Tennessee,USA,2019,1,22,77,7.8,3.6,1,4.5,3.5,10.7,12.3,63.5,5.8
Grayson Allen,MIL,2022,26,04-Jun,198,Duke,USA,2018,1,21,66,11.1,3.4,1.5,5,1.7,9.7,14.8,60.9,7.5
Greg Brown III,POR,2022,20,07-Jun,206,Texas,USA,2021,2,43,48,4.7,2.8,0.7,-17.6,5.7,15,16.8,51.5,8.7
Greg Monroe,MIN,2022,32,10-Jun,250,Georgetown,USA,2010,1,7,14,5.4,4.6,1.6,0.9,14.1,17.6,16.4,56.6,16.2
Hamidou Diallo,DET,2022,23,05-Jun,202,Kentucky,USA,2018,2,45,58,11,4.8,1.3,-7.6,4.9,16.2,21.3,54.1,9.8
Harrison Barnes,SAC,2022,30,08-Jun,225,North Carolina,USA,2012,1,7,77,16.4,5.6,2.4,-6.7,3.1,13.5,18.4,62.3,10.3
Hassan Whiteside,UTA,2022,33,7-0,265,Marshall,USA,2010,2,33,65,8.2,7.6,0.4,10.1,14.2,27.5,16.4,66.2,3.1
Hassani Gravett,ORL,2022,25,02-Jun,187,South Carolina,USA,2019,,,8,6.3,2.6,2.5,-1.8,0.6,11.4,13,62.9,17.7
Haywood Highsmith,MIA,2022,25,04-Jun,220,Wheeling Jesuit,USA,2018,,,19,2.3,1.4,0.3,-8.5,5.6,9.7,13.1,44.6,5.2
Herbert Jones,NOP,2022,23,07-Jun,206,Alabama,USA,2021,2,35,78,9.5,3.8,2.1,2,4.1,8.6,13.6,57.3,9.7
Ignas Brazdeikis,ORL,2022,23,06-Jun,221,Michigan,Canada,2019,2,47,42,5,1.7,0.9,-15.7,3.8,9,17.2,52,11
Immanuel Quickley,NYK,2022,23,03-Jun,190,Kentucky,USA,2020,1,25,78,11.3,3.2,3.5,6.6,1.7,11.4,21.7,54.3,24.4
Isaac Bonga,TOR,2022,22,08-Jun,180,None,Germany,2018,2,39,15,0.8,0.5,0.3,-22.6,4.3,3.8,10.8,36.3,8.9
Isaac Okoro,CLE,2022,21,05-Jun,225,Auburn,USA,2020,1,5,67,8.8,3,1.8,3.1,3.7,6.5,12.3,58.9,8.3
Isaiah Hartenstein,LAC,2022,24,7-0,250,None,Germany,2017,2,43,68,8.3,4.9,2.4,7,9.7,15.8,17.7,66.4,19.3
Isaiah Jackson,IND,2022,20,10-Jun,205,Kentucky,USA,2021,1,22,36,8.3,4.1,0.3,-2.8,10.9,15.7,21.4,60.7,2.7
Isaiah Joe,PHI,2022,22,04-Jun,165,Arkansas,USA,2020,2,49,55,3.6,1,0.6,1.7,1,7.9,14.4,51.9,8
Isaiah Livers,DET,2022,23,06-Jun,232,Michigan,USA,2021,2,42,19,6.4,3,1.1,-0.8,3.7,10.9,12.5,62.9,7.7
Isaiah Roby,OKC,2022,24,08-Jun,230,Nebraska,USA,2019,2,45,45,10.1,4.8,1.6,-8.8,7.4,14.5,18.5,60.7,11.7
Isaiah Stewart,DET,2022,21,08-Jun,250,Washington,USA,2020,1,16,71,8.3,8.7,1.2,-9.5,11.1,21.7,14.4,55,7
Isaiah Thomas,CHA,2022,33,09-May,185,Washington,USA,2011,2,60,22,8.4,1.3,1.5,-1.3,1.2,7.1,24.5,51.6,15.5
Isaiah Todd,WAS,2022,20,09-Jun,219,None,USA,2021,2,31,12,1.7,1,0.3,-15.6,3.4,12.3,18.8,34.9,9.5
Ish Smith,WAS,2022,33,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,65,6.3,2.2,3.8,-6.7,2.1,10,19.5,46.5,31.8
Ish Wainright,PHX,2022,27,05-Jun,250,Baylor,USA,Undrafted,Undrafted,Undrafted,45,2.4,1.2,0.3,5.6,6.6,7.2,13.4,49.4,5.7
Ivica Zubac,LAC,2022,25,7-0,240,None,Croatia,2016,2,32,76,10.3,8.5,1.6,-3.5,11.5,22.3,16.8,66,9.7
JT Thor,CHA,2022,19,09-Jun,203,Auburn,USA,2021,2,37,33,2,1.3,0.6,0.3,4,11.1,11.6,52.5,9.7
Ja Morant,MEM,2022,22,03-Jun,174,Murray State,USA,2019,1,2,57,27.4,5.7,6.7,4.1,3.7,12.4,33,57.5,33
JaMychal Green,DEN,2022,32,08-Jun,227,Alabama,USA,Undrafted,Undrafted,Undrafted,67,6.4,4.2,0.9,-3.5,7.3,18.7,16.8,58.7,8.4
JaQuori McLaughlin,DAL,2022,24,04-Jun,190,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,0,0,0.5,-34.6,0,0,6.5,0,20
JaVale McGee,PHX,2022,34,7-0,270,Nevada,USA,2008,1,18,74,9.2,6.7,0.6,5.8,13.4,26.6,21.4,65.1,5.5
Jabari Parker,BOS,2022,27,07-Jun,245,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,4.2,18,19.1,63.2,9.4
Jaden McDaniels,MIN,2022,21,09-Jun,185,Washington,USA,2020,1,28,70,9.2,4.2,1.1,0.6,3.8,11.5,14.9,55.3,6.3
Jaden Springer,PHI,2022,19,04-Jun,202,Tennessee,USA,2021,1,28,2,1,1,0,-72.4,14.3,12.5,11.8,100,0
Jae Crowder,PHX,2022,31,06-Jun,235,Marquette,USA,2012,2,34,67,9.4,5.3,1.9,10.2,1.7,16,14.6,54.1,8
Jae'Sean Tate,HOU,2022,26,04-Jun,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,78,11.8,5.4,2.8,-8.9,6.3,13.5,19.4,56.7,17.1
Jahmi'us Ramsey,SAC,2022,21,03-Jun,190,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6,2.7,6.8,20.8,46.8,7.5
Jaime Echenique,WAS,2022,25,10-Jun,258,Wichita State,Colombia,Undrafted,Undrafted,Undrafted,1,0,0,0,-30,0,0,0,0,0
Jake Layman,MIN,2022,28,08-Jun,209,Maryland,USA,2016,2,47,34,2.4,1.1,0.3,-3.4,2.5,12.3,16,50,5.5
Jakob Poeltl,SAS,2022,26,01-Jul,245,Utah,Austria,2016,1,9,68,13.5,9.3,2.8,3.4,12.5,18.4,18.2,61.3,13.1
Jalen Brunson,DAL,2022,25,01-Jun,190,Villanova,USA,2018,2,33,79,16.3,3.9,4.8,4.4,1.7,10.5,21.5,58.3,23.7
Jalen Green,HOU,2022,20,04-Jun,186,None,USA,2021,1,2,67,17.3,3.4,2.6,-11.3,1.5,8.8,23.4,54.7,13.2
Jalen Johnson,ATL,2022,20,08-Jun,219,Duke,USA,2021,1,20,22,2.4,1.2,0.1,-10,1.6,17.5,18.3,59,4.5
Jalen McDaniels,CHA,2022,24,09-Jun,205,San Diego State,USA,2019,2,52,55,6.2,3.1,1.1,2.6,3.9,13.8,15.2,59.5,8.9
Jalen Smith,IND,2022,22,10-Jun,215,Maryland,USA,2020,1,10,51,9.2,6,0.5,2.7,10.1,21.6,19.3,59.5,3.8
Jalen Suggs,ORL,2022,21,05-Jun,205,Gonzaga,USA,2021,1,5,48,11.8,3.6,4.4,-7.1,1.9,10.2,24.4,45.5,24.9
James Bouknight,CHA,2022,21,04-Jun,190,Connecticut,USA,2021,1,11,31,4.6,1.7,0.8,-6.2,6.4,9,22.6,45.9,13.2
James Ennis III,DEN,2022,31,06-Jun,215,Cal State-Long Beach,USA,2013,2,50,7,4.1,1.7,0.4,0.9,8.6,12.1,20.6,55.3,8.1
James Harden,PHI,2022,32,05-Jun,220,Arizona State,USA,2009,1,3,65,22,7.7,10.3,3.5,2.4,17.6,26.6,58.3,40.1
James Johnson,BKN,2022,35,07-Jun,240,Wake Forest,USA,2009,1,16,62,5.5,3.5,2.1,-1.6,4.1,12.7,13.6,51.3,15.3
Jamorko Pickett,DET,2022,24,09-Jun,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,13,3.8,2.5,0.5,0.3,3.2,14.1,13.3,49.1,5.7
Jared Butler,UTA,2022,21,03-Jun,193,Baylor,USA,2021,2,40,42,3.8,1.1,1.5,-0.1,1.4,10.2,22.1,50.9,25.8
Jared Harper,NOP,2022,24,10-May,175,Auburn,USA,Undrafted,Undrafted,Undrafted,5,7.4,0.4,2.8,9.8,4.7,0,28.7,66.6,53.8
Jaren Jackson Jr.,MEM,2022,22,11-Jun,242,Michigan State,USA,2018,1,4,78,16.3,5.8,1.1,7.9,5,14.5,24.8,53.5,5.8
Jarred Vanderbilt,MIN,2022,23,09-Jun,214,Kentucky,USA,2018,2,41,74,6.9,8.4,1.3,5,10.7,21.2,10.8,61.2,6.6
Jarrett Allen,CLE,2022,24,10-Jun,243,Texas,USA,2017,1,22,56,16.1,10.8,1.6,3.3,10.9,21.3,17.7,69.8,7.9
Jarrett Culver,MEM,2022,23,06-Jun,195,Texas Tech,USA,2019,1,6,37,3.5,1.3,0.9,-2.3,3.3,10.1,19.9,43.3,13.5
Jarron Cumberland,POR,2022,24,05-Jun,205,Cincinnati,USA,Undrafted,Undrafted,Undrafted,3,0.7,1,0.3,40.2,5.9,18.2,6.1,50,10
Javin DeLaurier,MIL,2022,24,10-Jun,234,Duke,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,57.1,0,25,0,0,0
Javonte Green,CHI,2022,28,05-Jun,205,Radford,USA,Undrafted,Undrafted,Undrafted,65,7.2,4.2,0.9,1.6,6.2,12,11.3,63.7,5.1
Javonte Smart,MIA,2022,23,04-Jun,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted,17,3,1.4,0.9,-10.6,2.2,9.4,15.4,40.7,12.1
Jaxson Hayes,NOP,2022,22,11-Jun,220,Texas,USA,2019,1,8,70,9.3,4.5,0.6,0.5,8,14.6,15.9,68,4.7
Jay Huff,LAL,2022,24,01-Jul,240,Virginia,USA,Undrafted,Undrafted,Undrafted,4,0,1,0.3,36.5,4,11.1,8.3,0,7.1
Jay Scrubb,LAC,2022,21,05-Jun,220,John A. Logan,USA,2020,2,55,18,2.7,0.9,0.4,6.9,1.6,10,18.8,48.6,9.5
Jaylen Brown,BOS,2022,25,06-Jun,223,California,USA,2016,1,3,66,23.6,6.1,3.5,9.8,2.4,14.5,29.8,57.4,17.3
Jaylen Hoard,OKC,2022,23,08-Jun,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,7,14.7,12,2.4,-17.2,11.2,22.8,18.4,53.6,11.3
Jaylen Morris,SAS,2022,26,05-Jun,185,Molloy,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,22.9,0,11.8,23.1,12.9,14.3
Jaylen Nowell,MIN,2022,22,04-Jun,201,Washington,USA,2019,2,43,62,8.5,2,2.1,2.8,2.2,10,20.5,58.1,19.7
Jaysean Paige,DET,2022,27,02-Jun,200,West Virginia,USA,Undrafted,Undrafted,Undrafted,1,0,1,1,-69.6,0,9.1,21.1,0,33.3
Jayson Tatum,BOS,2022,24,08-Jun,210,Duke,USA,2017,1,3,76,26.9,8,4.4,12.1,3.2,18,31.3,57.8,20.4
Jeff Dowtin Jr.,ORL,2022,25,03-Jun,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,9,2.1,2,1.1,-12.3,6.5,9.7,11.9,35.3,13.9
Jeff Green,DEN,2022,35,08-Jun,235,Georgetown,USA,2007,1,5,75,10.3,3.1,1.3,1.8,2.4,10,16,62.7,7.1
Jemerrio Jones,LAL,2022,27,05-Jun,175,New Mexico State,USA,2018,,,2,2,1.5,0,-38,11.8,5.6,8.3,66.7,0
Jerami Grant,DET,2022,28,08-Jun,210,Syracuse,USA,2014,2,39,47,19.2,4.1,2.4,-7.8,1.7,10.8,25.3,55.6,13
Jeremiah Robinson-Earl,OKC,2022,21,08-Jun,242,Villanova,USA,2021,2,32,49,7.5,5.6,1,-9.8,6.1,17.2,15.2,52.6,6.9
Jeremy Lamb,SAC,2022,30,05-Jun,180,Connecticut,USA,2012,1,12,56,7.3,2.8,1.4,0.6,2.6,13.4,18.9,52.1,12.4
Jericho Sims,NYK,2022,23,09-Jun,250,Texas,USA,2021,2,58,41,2.2,4.1,0.5,6.5,10.8,18.7,6.8,67.4,5.4
Jevon Carter,MIL,2022,26,01-Jun,200,West Virginia,USA,2018,2,32,66,4.2,1.7,1.5,-3,1.4,9.7,13.5,53.1,14.8
Jimmy Butler,MIA,2022,32,07-Jun,230,Marquette,USA,2011,1,30,57,21.4,5.9,5.5,6.1,5.5,12.5,26,59.2,26.4
Jock Landale,SAS,2022,26,11-Jun,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,54,4.9,2.6,0.8,-1.1,9.4,11.8,17.2,59.7,11.5
Joe Harris,BKN,2022,30,06-Jun,220,Virginia,USA,2014,2,33,14,11.3,4,1,1.1,1.2,10.9,14.6,62.4,4.7
Joe Ingles,POR,2022,34,08-Jun,220,None,Australia,Undrafted,Undrafted,Undrafted,45,7.2,2.9,3.5,8.2,1,9.9,12.9,55.1,19.5
Joe Johnson,BOS,2022,41,07-Jun,240,Arkansas,USA,2001,1,10,1,2,0,0,-100,0,0,20,100,0
Joe Wieskamp,SAS,2022,22,06-Jun,205,Iowa,USA,2021,2,41,29,2.1,0.5,0.3,1.5,1.7,4.5,12.9,49.4,6.5
Joel Ayayi,WAS,2022,22,04-Jun,180,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,3.7,10.5,13.3,16.7,36.4
Joel Embiid,PHI,2022,28,7-0,280,Kansas,Cameroon,2014,1,3,68,30.6,11.7,4.2,7.9,6.8,27.3,37.5,61.6,23.6
John Collins,ATL,2022,24,09-Jun,226,Wake Forest,USA,2017,1,19,54,16.2,7.8,1.8,0.8,5.6,19,20.2,61,8.8
John Konchar,MEM,2022,26,05-Jun,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,72,4.8,4.6,1.5,2.7,5.9,18.2,9.7,61.5,10.9
Jon Teske,MEM,2022,25,01-Jul,265,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0,0.7,0.3,-7.1,0,28.6,10,0,16.7
Jonas Valanciunas,NOP,2022,30,11-Jun,265,None,Lithuania,2011,1,5,74,17.8,11.4,2.6,1.2,10,28,23.8,61.7,13.7
Jonathan Kuminga,GSW,2022,19,07-Jun,225,None,DRC,2021,1,7,70,9.3,3.3,0.9,1.9,4.7,13.9,22.7,60,8.7
Jordan Bell,CHI,2022,27,07-Jun,216,Oregon,USA,2017,2,38,1,0,1,0,25,50,0,0,0,0
Jordan Clarkson,UTA,2022,30,04-Jun,194,Missouri,USA,2014,2,46,79,16,3.5,2.5,8.7,3,9.1,25.8,53.2,14.4
Jordan Goodwin,WAS,2022,23,03-Jun,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0,-110,0,20,25,0,0
Jordan McLaughlin,MIN,2022,26,11-May,185,Southern California,USA,Undrafted,Undrafted,Undrafted,62,3.8,1.5,2.9,2.4,2.3,7.5,11.5,53.5,25.8
Jordan Nwora,MIL,2022,23,08-Jun,225,Louisville,USA,2020,2,45,62,7.9,3.6,1,-3,3,14.7,18.7,50.6,7.1
Jordan Poole,GSW,2022,23,04-Jun,194,Michigan,USA,2019,1,28,76,18.5,3.4,4,6.6,1.5,9.4,25.2,59.8,20.7
Jordan Schakel,WAS,2022,24,06-Jun,200,San Diego State,USA,Undrafted,Undrafted,Undrafted,4,1.3,2,0,7.9,6.3,18.8,19.1,21,0
Jose Alvarado,NOP,2022,24,6-0,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,54,6.1,1.9,2.8,7.3,2.9,9.4,17.4,52,26.1
Josh Christopher,HOU,2022,20,03-Jun,215,Arizona State,USA,2021,1,24,74,7.9,2.5,2,-9.2,3.7,10.3,20.5,53.4,17
Josh Giddey,OKC,2022,19,08-Jun,205,None,Australia,2021,1,6,54,12.5,7.8,6.4,-8.3,5.2,17.5,21.8,47.8,32.5
Josh Green,DAL,2022,21,05-Jun,200,Arizona,Australia,2020,1,18,67,4.8,2.4,1.2,3.7,4.9,10.5,13,57.8,11
Josh Hart,POR,2022,27,05-Jun,215,Villanova,USA,2017,1,30,54,14.9,7.2,4.1,-4.9,3.3,18.3,18.4,61,19
Josh Jackson,SAC,2022,25,08-Jun,207,Kansas,USA,2017,1,4,51,6.4,2.8,1.1,-8.6,2.5,14.9,19.6,49.1,10.5
Josh Okogie,MIN,2022,23,04-Jun,213,Georgia Tech,Nigeria,2018,1,20,49,2.7,1.4,0.5,2.5,4.9,7.7,11.5,52.6,6.6
Josh Richardson,SAS,2022,28,05-Jun,200,Tennessee,USA,2015,2,40,65,10.2,2.8,1.8,4.5,2.6,8.7,17.1,57.3,10.5
Joshua Primo,SAS,2022,19,04-Jun,189,Alabama,Canada,2021,1,12,50,5.8,2.3,1.6,-3.3,3.1,7.9,15.2,48.7,11.1
Jrue Holiday,MIL,2022,32,03-Jun,205,UCLA,USA,2009,1,17,67,18.3,4.5,6.8,8.5,3.1,10,23.1,59.3,29.7
Juan Toscano-Anderson,GSW,2022,29,06-Jun,209,Marquette,USA,Undrafted,Undrafted,Undrafted,73,4.1,2.4,1.7,2.9,3,14.3,14.4,56.1,18
Juancho Hernangomez,UTA,2022,26,09-Jun,214,None,Spain,2016,1,15,40,3.3,2.5,0.5,0.5,6.3,15.5,13.3,54.2,6.4
Julius Randle,NYK,2022,27,08-Jun,250,Kentucky,USA,2014,1,7,72,20.1,9.9,5.1,-3.6,4.5,22.5,27.9,50.9,25.1
Justin Anderson,IND,2022,28,05-Jun,231,Virginia,USA,2015,1,21,16,6.4,2.9,2.1,-0.1,1.3,14.2,14.9,49.3,13.5
Justin Champagnie,TOR,2022,21,06-Jun,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,36,2.3,2,0.3,7.4,11.1,12.6,11.1,57.1,5.1
